Hospital_Name,Hospital_Type,Hospital_Category,State,District,Pincode,Specialties,Facilities,Address_Original_First_Line,Telephone
Dr.Ysr Memorial Hospitals,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch",08554  247155
Hrudaya Children Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,Sai Nagar Iind Cross,0
"Jeevana Jyothi Hospitals Ltd.,",Private,0,Andhra Pradesh,Anantapur,515001,0,0,"#15-381, Kamala Nagar",0
K K Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,Opposite Annapurna Lodge Kamalanagar,08554  222133
Meda Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,Railway Station Road,08554    277562
Mnr Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"12/3-269, Sai Nagar, 6Th Cross",0
Mythri Hospitals,Private,0,Andhra Pradesh,Anantapur,515001,0,0,D No: 15/721 Kamala Nagar,"08554    274630, 245014, 9441074096"
Padmavathi Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"Aravinda Nagar, 2 Nd Cross",08554  249966
Pavani Multi Speciality Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"12-2-979,3Rd Cross, Sai Nagar",0
Prasanthi Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"#346, Court Road",0
Priya Multispeciality Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"#12/2/991, Sai Nagar,Main Road",231908
Ravitej Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"15-16, Kamala Nagar",0
Santhi Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"Near R.T.C, Bus Stand",0
Sri Prakash Eye Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"# 12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital",08554  22106
Sri Sai Balaji Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross",0
Sri Sai Kurpa Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"10/368, Sarojini Road",08554    274564
Sri Sai Venkateshwara Surgical Clinic,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,Anantapur,0
Sudhir Surgical Clinic,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,Hospital Road,220092
Suma Eye Clinic,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,"12-2-870,1St Cross,Sai Nagar",0
Swetha Ent Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"#12/350-A,1St Cross ,Sai Nagar",0
Vaatsalya Hospital(Ananthapur),Private,0,Andhra Pradesh,Anantapur,515001,0,0,"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",277077
Varun Children's Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"D. No.14/224, Kamala Nagar",0
Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Private,0,Andhra Pradesh,Anantapur,515001,0,0,"7/201, Court Road",0
Vijaya Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515001,0,0,Navodaya Colony,220912
Divyasree Hospital,Private,0,Andhra Pradesh,Anantapur,515002,0,0,Adimurthy Nagar Guild Of Service Road,08554  274322
Mamatha Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515004,0,0,"12-2-865, 1St Cross, Sai Nagar",08554  275152
Anantapuram Praja Vaidyasala,Clinic,0,Andhra Pradesh,Anantapur,515005,0,0,"28-639-1, Behind Sangamesh Funtion Hall",0
Balaji Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515201,0,0,M.F. Road,0
Dr B V Syamala Ratnam Hospiatal,Private,0,Andhra Pradesh,Anantapur,515201,0,0,"Opposite R.T.C Bus Stand, Hindupur (Po)",0
Girish Multispeciality Hospital,Private,0,Andhra Pradesh,Anantapur,515201,0,0,"#18-1-167, M F Road, Hindupur",0
Shilpa Hospital,Private,0,Andhra Pradesh,Anantapur,515201,0,0,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur",08556 220728
Sreenivasa Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515201,0,0,Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,0
Teja Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515201,0,0,R.P and G.T Road Hindupur,0
Sharada Nursing Home and Falvia P Reddy Diagnostic,Clinic,0,Andhra Pradesh,Anantapur,515411,0,0,"1/531A-3, East Palem, C B Road, Tadaptri",0
Sri Kanchani Hospital,Private,0,Andhra Pradesh,Anantapur,515411,0,0,"C.B Road, Tadpatri",0
Sri Veja Hospital,Private,0,Andhra Pradesh,Anantapur,515411,0,0,"14/10-3, Bukkapatnam Street,",0
Azad Diabetic Centre,Private,0,Andhra Pradesh,Anantapur,515591,0,0,"Near Andhra Bank, Byepass Road , Kadiri",0
Devi Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515671,0,0,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram",0
Spandana Hospital,Private,0,Andhra Pradesh,Anantapur,515671,0,0,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",08559  225919
Preethi Nursing Home,Clinic,0,Andhra Pradesh,Anantapur,515801,0,0,"Thilak Nagar, Guntakal",0
Babu Nursing Home - Chittoor,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,"2-1254/1 , Officecers Line, Kongareddipalli",229940/200345
Dr. Agarwals Eye Hospital Ltd.,Private,0,Andhra Pradesh,Chittoor,517001,0,0,"22-339/2, Opposite Sbi Colony, Kongareddy Patte",0
Dr. Ramalakshmi Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,"No.17-433, Lakshmi Complex, Sundarayyar Street",0
Dr. V. K. R. Nursing Home and Scan Centre,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,"No. 20-142/1, Near Raghava Theatre, Naidu Building",0
Lakshmi Hospital,Private,0,Andhra Pradesh,Chittoor,517001,0,0,"D.No:17-284,,T.V.Naidu St",0
Ravi Nursing Home - Chitoor,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,2-55/1 Municipal Office Road Near New Rtc Bus Stand,232235
S.M.Clinic,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,"# 2-1250, Officers Lane",0
Sreelatha Modern Eye Hospital And Research Centre,Private,0,Andhra Pradesh,Chittoor,517001,0,0,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office","08577    222121, 226660,"
Sujatha Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517001,0,0,"#2-1090, Padmavathi Nagar, Piler",0
Apollo Hospitals Aragonda,Private,0,Andhra Pradesh,Chittoor,517129,0,0,Aragonda Thavanampalle Mandal,"08573  283220, 283221"
Balaji Hospital,Private,0,Andhra Pradesh,Chittoor,517247,0,0,Opp:Tn Petrol Bunk Punganur Punganur,08581    252867
Vijaya Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517247,0,0,Gokul Theater Road Punganur Punganur,08581    253129
Balaji Multi Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle",08571  227799
Bhavya Child Care Center,Private,0,Andhra Pradesh,Chittoor,517325,0,0,Near Rtc Bus Stand Chittoor Madanapalli,08571    221444
Bhavyas Children Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,R T C Bus Stand Madanpalle,0
Chandra Mohan's Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517325,0,0,14/2A Ctm Road Beside Icici Bank Madanapalli,08571    222167
Desai Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle",0
Desai Hospital-Madanapalli,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"No. 3-153-4-3-1, Near Rtc Bus Stand","08571    223144, 223257"
Emergency Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Near R.T.C.Busstand,C.T.M.Road",0
Gupta Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517325,0,0,C.T.M.Road,0
Kathasagaram Hospitals,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"# 15-37, Burma St, C.T.M. Road",0
Leo Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,",,C.T.M.Road",0
M.V.L Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,C.T.M Road(Opp State Bank Of India) Madanapalle,0
Madanapalle Hospital Pvt Ltd,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"C.T.M Road, Madanapalle",08571  223565
Popular Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517325,0,0,"Gandhi Road,,Gandhi Road",0
Rama Orthopaedic Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517325,0,0,"Iv-5-3, Marpoori Colony, Madanapalle",0
Shantharam Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",0
Siloam Eye Centre,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle",0
Siloam Orthopaedic and Trauma Centre,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"# 14-26, Old Andhra Bank Building,,C.T.M.Road",0
Sri Kaveri Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",0
Usha Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",0
Viswa Orthopaedic Hospital,Private,0,Andhra Pradesh,Chittoor,517325,0,0,"D No 11-70, Patel Road Madanapalli",08571    221646
Saraswathi Maternity Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517408,0,0,"Borugulabatti, Thasildhar Street Newpet",0
P E S Institute Of Medical Sciences and Research,Private,0,Andhra Pradesh,Chittoor,517425,0,0,Kuppam Palmaner Road,"08570  256666, 256655"
Rathna Childrens and General Hospital,Private,0,Andhra Pradesh,Chittoor,517425,0,0,"Palace Road, Kuppam",0
Sri Priya Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517425,0,0,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",08570    255136
Apollo Multispeciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"D.No :10-15-189/I2, K.K. Layout, Tirupati",0
Apollo Rural Hospitals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal","283220, 283221"
Asalatha Medicare Pvt Lt,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",0
Balaji Institute Of Surgery Research And Rehabilit,Private,0,Andhra Pradesh,Chittoor,517501,0,0,Tirupti (B.I.R.R.D),0
Balaji Orthopaedic And Trauma Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",0877    2222700
Bhaskar Allergy and Chest Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",0
Clinic Nisha,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"398A, Doddapuram Street, Tirupati",2228761
Dbr And Sk Super Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road","0877    6667999, 6561981"
Eye Care Centre and Contact Lens Clinic,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,Nehru Nagar Behind Jyothi Talkies Tirupati,0
Gayatri Hospital Tirupati,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",2253714
Harshitha Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-13-568,,Reddy and Reddy Colony",0
Lotus Emergency Hosptial,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",0877  2252962
M S Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",0877  228 2459
M.M Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",0
M/S Sapthagiri Eye Care Centre,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",2280488
Manohari Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"548, R.R. Colony,Tirupati",0
Meghana Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",0
Mother Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",0877    2286112
Navya Netralaya Eye Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,2-2-349 K.V. Layout,0
Neelima Maternity Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"18-2-246 , Road No-1 Abbanna Colony Tirupati",0
Nirmala Hospitals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",0
Om Children Surgical Superspeciality Centre,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-13-486, Reddy and Reddy Colony, Tirupati",0
Prameela Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,10 - 3 - 206 Kotakommala Street Tirupati,0
Prashanth Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"#: 410, Tilak Road Tilak Road Tirupati","0877    22454333, 2252466,"
Purna's Remedy Hospital - Tirupathi,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati",3253250
Raghavendra Urological Super Speciality Hospital (Russh Hospital),Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati","0877    2220487, 2227385, 2224725"
Rama Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"535, Reddy and Reddy Colony , Tirupati",0
Ramadevi Multi Super Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"16-2-156, Sairam Street, Tirupathi",0
Ramya Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"-4-566, Nehru Nagar, Tirupathi, Chittoor",0
Ravi Neuro and Emergency Hospital - Chittoor,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",2222369
Sakthi Medicals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"548, Reddy and Reddy Colony,Tirupati",0
Shyamala Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"101, Sarojinideavi Road, Tirupati",2286522
Sree Emergency and Crticial Care Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",0
Sri Chakra Hospitals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-13-496, , Reddy and Reddy Colony, Tirupati",0
Sri Padmavathi Multi Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-1-46, R.S.Gardens Tirupati",0
Sri Ramadevi Multi Super Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,"0877    2287437, 2287156,"
Sri Sai Ortho Care,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-2-105, Old Maternity Road, Beside Rajanna Park",0
Sri Sai Sudha Hospitals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"521, Reddy and Reddy Colony, Chittor, Tirupati",0
Sri Suraksha Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,Tirupati,0
Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Private,0,Andhra Pradesh,Chittoor,517501,0,0,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,2253322
Sri Venkateshwara Institute Of Medical Sciences,Private,0,Andhra Pradesh,Chittoor,517501,0,0,Tirupati,0
Sri Venkateswara Hospitals,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"No. 20-03-88G, Siva Jyothi Nagar",0877 2281111
Sri Vignesh Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",0
Srinivasa Super Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",0
Suguna Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"515,Reddy Reddy Colony, Tirupati",0
Sviss Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"326,Nethaji Road,Tirupati",6668633
Swaranamrutha Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",2286602
Swarnamrutha Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"Opp Bhavani Nagar Circle, Maternity Road",0877  2286602
Swetha Childrens Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street",2222228
Triveni Child Care Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"525,Reddy  and Reddy Colony,Tirupathi",0
Vaishnavi Children Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati",0
Vasan Healthcare Pvt Ltd,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",0877  2220552
Venkataramana Heart And Maternity Hospital,Private,0,Andhra Pradesh,Chittoor,517501,0,0,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",0877    2258183
Vision Care Clinic,Clinic,0,Andhra Pradesh,Chittoor,517501,0,0,"6-2-88, Old Maternity Hospital Road, Tirupati",0
Elite Hospital,Private,0,Andhra Pradesh,Chittoor,517502,0,0,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",0877  2251000
Maha Hospitals,Private,0,Andhra Pradesh,Chittoor,517502,0,0,13-7-936/6 Tuda Road,0877  2266601
Vennela Super Speciality Eye and Dental Hospital,Clinic,0,Andhra Pradesh,Chittoor,517502,0,0,"502,B, 1St Floor, Opp Sbi Kt Road",2228266
Radha Narayan Hospital For Women And Children,Private,0,Andhra Pradesh,Chittoor,517505,0,0,"19-4-395, Bairagipatteda North, Tirupati",240522/41031
Manasa Kidney Foundation,Private,0,Andhra Pradesh,Chittoor,517507,0,0,"K. T. Road, Tirupati",0
Rushh Hospital,Private,0,Andhra Pradesh,Chittoor,517507,0,0,"V.V.Mahal Road, Tirupathi",22227385
S V Poly Clinic,Clinic,0,Andhra Pradesh,Chittoor,517507,0,0,"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple","2286077,2287675  0"
Sneha Super Speciality Hospital,Private,0,Andhra Pradesh,Chittoor,517507,0,0,"Sarojini Devi Layout, Rupa Hospital Road, Tirupati",0
Swarna E.N.T Super Speciality Hosptial,Private,0,Andhra Pradesh,Chittoor,517507,0,0,"6-1-12A, Beside Old Maternity Hospital, Tirupati",0
Swarnamurtha Hospital,Private,0,Andhra Pradesh,Chittoor,517507,0,0,"91,Old M.H.Road,1/1,Tirupathi",0
Sri Sai Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517583,0,0,"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur",222765
C.S.I. Hospital,Private,0,Andhra Pradesh,Chittoor,517590,0,0,Nagari-517590,0
Annapurna Hospital ( Ramarao Hospital),Private,0,Andhra Pradesh,Chittoor,517644,0,0,"# 6/420, Babu Agraharam,Babu Agraharam",0
Chaitanya Childrens Hospital,Private,0,Andhra Pradesh,Chittoor,517644,0,0,"Door No-7/370, Nagarchipalem, Srikalahasti",0
Eswari Nursing Home,Clinic,0,Andhra Pradesh,Chittoor,517644,0,0,"# 7-723,Kothapet",0
Sai Kanthi Eye Hospital,Private,0,Andhra Pradesh,Chittoor,517644,0,0,Kothapet,0
Vani Priya Hospital,Private,0,Andhra Pradesh,Chittoor,517644,0,0,"V R Temple Street, Nehru Road",0
Abhishek Kidney and General Hospital ( Kcm Hospital),Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"3/224, Upendra Complex, Christian Lane",08562  250762  0
Ashwini Childrens Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"4/460, Nagarajupet, Near Dr. Thulasamma Hospital",251699
Balaji Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"6/1565, Sankara Puram",08562  247843
Bharathi Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally",0
G. S. R. Heart Care Centre - Cuddapah,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,Opposite Old Municipal Office,249478
Jyothi Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,3/374 Railway Station Road Railway Station Road,08251    246975
K.C.M. Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"#3/224, Upendra Complex",242929
Likhith Laparoscopic Centre,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"2/402, R.S Road, Opposite Csi Church",0
Palla Krishnaiah Memorial And Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,21/188 and 21/187 Christian Lane,08562    246088
Pasupuleti Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"#4-370, Infront Of H P Gas Koti Reddy Street , Nagarajupeta",0
Priyatham Clinic,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"Opp:Municipal Water Tank, Near Old Govt Hospital",0
Sita Lakshmi Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"21/628, Salt Felt Road",0
Siva Yogi Childrens Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"Beside Sri Rama Temple, Nagaraju Pet",221729
Sri Krishna Sahithi Eye Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,3/137 Christian Lane Christian Lane,08562    252844
Srija Rainbow Childrens Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,Madras Road,0
Srinivasa Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"7/304, Holmbspet, Produttur (P.O.)",0
Tata Reddy Ramalinga Reddy Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,"17/48, Kapu Street, Jammalamadugu",08560  271166
Thulasamma Hospital,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"4/110, Nagarajupet, Near Womens College",0
Tirumala Hospitals,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre",0
Vijaya Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516001,0,0,Prodatoor,"253686, 252686"
Vurimi Savitramma Cardiac Centre,Private,0,Andhra Pradesh,Y.S.R.,516001,0,0,# 3/225 Upendra Complex Christian Lane,08562    252929
Deepa Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516002,0,0,2/1115-1 Nehrunagar,08562  245045  0
Dr G R K R Multi Speciality Hospitals,Private,0,Andhra Pradesh,Y.S.R.,516002,0,0,"6/1414, Sankarapuram",08562  224953
Jyothi Nursing Home,Clinic,0,Andhra Pradesh,Y.S.R.,516002,0,0,"Near Petrol Bunk, R. S. Road",08562  246975
Remedy Hospital,Private,0,Andhra Pradesh,Y.S.R.,516002,0,0,"D.No.3/221,Christian Lane,Near 7 Roads",0
Sri Satya Sai Hospital,Private,0,Andhra Pradesh,Y.S.R.,516002,0,0,"6-880, Madras Road Sankarapuram",08562  242729/274972  0
