Code,Disease Name,Avg Price (INR),Claim Count,Fraud Rate
99678,Comp-oth int ortho devic,6237.78,45,46.67
81201,Fx surg nck humerus-clos,6160.91,33,51.52
81209,Fx upper humerus NEC-cl,6154.4,25,64.0
73007,Ac osteomyelitis-ankle,6152.0,10,60.0
4373,Nonrupt cerebral aneurym,6061.18,51,43.14
135,Sarcoidosis,6030.0,11,36.36
99681,Compl kidney transplant,6013.77,77,55.84
5109,Empyema w/o fistula,6010.58,69,46.38
56983,Perforation of intestine,5954.81,77,48.05
72402,"Spin sten,lumbr wo claud",5921.48,438,46.12
55321,Incisional hernia,5915.15,103,45.63
5523,Diaphragm hernia w obstr,5899.78,45,46.67
41081,"AMI NEC, initial",5872.41,29,51.72
53140,Chr stomach ulc w hem,5861.68,119,43.7
0030,Salmonella enteritis,5846.0,10,80.0
29284,Drug-induced mood disord,5815.45,11,45.45
1619,Malignant neo larynx NOS,5802.31,13,38.46
56089,Intestinal obstruct NEC,5775.13,76,52.63
5609,Intestinal obstruct NOS,5755.85,224,54.46
8080,Fracture acetabulum-clos,5749.23,26,50.0
44101,Dsct of thoracic aorta,5726.25,64,46.88
1125,Disseminated candidiasis,5701.48,27,37.04
1960,Mal neo lymph-head/neck,5693.93,28,57.14
9974,Diagnosis 9974,5687.21,43,53.49
57420,Cholelithiasis NOS,5685.98,87,41.38
45341,Ac DVT/emb prox low ext,5680.95,210,47.14
5528,"Hernia, site NEC w obstr",5678.5,40,47.5
53783,Angio stm/dudn w hmrhg,5661.67,72,51.39
4230,Hemopericardium,5629.09,11,27.27
27801,Morbid obesity,5621.07,112,52.68
1518,Malig neopl stomach NEC,5588.12,16,43.75
1892,Malign neopl ureter,5573.64,11,36.36
73342,Aseptic necrosis femur,5572.11,57,52.63
99883,Non-healing surgcl wound,5566.47,34,55.88
25080,DMII oth nt st uncntrld,5559.58,306,48.04
5781,Blood in stool,5539.84,127,41.73
82120,Fx low end femur NOS-cl,5525.59,34,47.06
2536,Neurohypophysis dis NEC,5462.83,60,51.67
28803,Drug induced neutropenia,5455.14,37,35.14
28800,Neutropenia NOS,5422.5,60,50.0
5130,Abscess of lung,5411.27,55,36.36
53240,Chr duoden ulcer w hem,5400.6,84,51.19
1536,Malig neo ascend colon,5399.1,111,36.04
99668,React-periton dialy cath,5394.72,36,50.0
1510,Mal neo stomach cardia,5368.89,18,50.0
82300,Fx upper end tibia-close,5344.84,31,61.29
40491,Hyp ht/kd NOS I-IV w hf,5320.96,104,37.5
41051,"AMI lateral NEC, initial",5276.88,16,62.5
5119,Pleural effusion NOS,5271.41,191,46.6
1890,Malig neopl kidney,5263.89,167,43.11
43310,Ocl crtd art wo infrct,5237.63,372,50.54
3310,Alzheimer's disease,5234.08,289,49.83
4280,CHF NOS,5231.58,1337,50.11
4254,Prim cardiomyopathy NEC,5203.02,63,36.51
1550,"Mal neo liver, primary",5200.97,62,45.16
3313,Communicat hydrocephalus,5181.82,11,36.36
99769,Amputat stump compl NEC,5178.18,22,31.82
34831,Metabolic encephalopathy,5176.3,73,50.68
30401,Opioid dependence-contin,5170.53,19,73.68
20281,Lymphomas NEC head,5170.0,14,57.14
53649,Gastrostomy comp NEC,5148.7,23,56.52
4416,Thoracoabd aneurysm rupt,5135.48,31,45.16
6826,Cellulitis of leg,5121.42,430,53.72
56211,Dvrtcli colon w/o hmrhg,5108.95,390,51.03
99812,Hematoma complic proc,5096.46,48,45.83
81200,Fx up end humerus NOS-cl,5095.11,47,61.7
55010,Unilat ing hernia w obst,5086.97,66,46.97
8220,Fracture patella-closed,5082.43,37,35.14
5601,Paralytic ileus,5064.2,138,48.55
9623,Poison-insulin/antidiab,5038.0,10,50.0
41405,Cor ath bypass graft NOS,4981.56,32,37.5
82020,Trochanteric fx NOS-clos,4970.0,42,38.1
99601,Malfunc cardiac pacemake,4962.45,49,55.1
5374,Gastric/duodenal fistula,4938.75,24,41.67
33520,Amyotrophic sclerosis,4927.78,18,27.78
25070,DMII circ nt st uncntrld,4885.13,156,45.51
1515,Mal neo stom lesser curv,4884.67,15,46.67
42823,Ac on chr syst hrt fail,4877.65,655,49.16
9982,Accidental op laceration,4866.25,32,46.88
1588,Mal neo peritoneum NEC,4825.0,10,60.0
85201,Subarachnoid hem-no coma,4816.92,13,53.85
8082,Fracture of pubis-closed,4800.97,113,58.41
1519,Malig neopl stomach NOS,4753.5,20,35.0
57470,Gal&bil cal w/oth w/o ob,4732.94,34,38.24
49121,Obs chr bronc w(ac) exac,4712.44,1404,51.85
1913,Mal neo parietal lobe,4694.44,18,44.44
56039,Impaction intestine NEC,4693.24,74,56.76
71516,Loc prim osteoart-l/leg,4686.29,205,44.88
99739,Respiratory comp NEC,4680.95,21,52.38
1534,Malignant neoplasm cecum,4648.29,111,37.84
0090,Infectious enteritis NOS,4644.71,17,64.71
81203,Fx gr tuberos humerus-cl,4613.33,12,33.33
99602,Malfunc prosth hrt valve,4609.7,33,48.48
34982,Toxic encephalopathy,4600.82,61,42.62
42090,Acute pericarditis NOS,4585.71,14,42.86
5521,Umbilical hernia w obstr,4577.39,46,32.61
9962,Malfun neuro device/graf,4572.5,32,43.75
20410,Ch lym leuk wo achv rmsn,4544.29,28,39.29
042,Human immuno virus dis,4521.44,90,41.11
5960,Bladder neck obstruction,4509.23,26,30.77
71595,Osteoarthros NOS-pelvis,4505.86,203,46.31
82003,Fx base femoral nck-clos,4494.42,43,41.86
29530,Paranoid schizo-unspec,4468.96,106,55.66
27702,Cystic fibros w pul man,4456.15,13,53.85
6191,"Digest-genit fistul, fem",4455.56,18,50.0
V5332,Ftng autmtc dfibrillator,4450.49,61,49.18
57510,Cholecystitis NOS,4449.78,45,37.78
28262,Hb-SS disease w crisis,4440.16,61,60.66
70703,"Pressure ulcer, low back",4392.35,166,44.58
5121,Iatrogenic pneumothorax,4373.75,24,45.83
0088,Viral enteritis NOS,4359.3,71,59.15
3330,Degen basal ganglia NEC,4357.67,30,60.0
57430,Choledocholith/ac gb inf,4353.71,35,34.29
56723,Spontan bact peritonitis,4314.55,11,27.27
9678,Pois-sedative/hypnot NEC,4307.86,14,50.0
53784,"Dieulafoy les,stom&duod",4293.85,26,46.15
8249,Fx ankle NOS-open,4287.86,14,42.86
1561,Mal neo extrahepat ducts,4246.67,15,40.0
1972,Second malig neo pleura,4223.4,47,38.3
1611,Malig neo supraglottis,4216.67,15,66.67
99640,Cmp int orth dev/gft NOS,4203.7,27,51.85
81221,Fx humerus shaft-closed,4193.04,23,52.17
53642,Gastrostomy comp - mech,4178.44,32,50.0
44481,Iliac artery embolism,4171.43,21,28.57
55200,Unil femoral hern w obst,4162.82,39,38.46
99851,Infected postop seroma,4162.63,19,68.42
03844,Serratia septicemia,4160.0,16,56.25
44021,Ath ext ntv at w claudct,4150.48,249,44.18
5307,Mallory-weiss syndrome,4150.25,40,32.5
48283,Pneumo oth grm-neg bact,4148.2,50,40.0
5762,Obstruction of bile duct,4124.32,37,48.65
57431,Choledochlith/ac gb-obst,4119.62,26,42.31
56949,Rectal & anal dis NEC,4111.0,30,30.0
6256,Fem stress incontinence,4106.19,21,47.62
4321,Subdural hemorrhage,4084.82,110,50.0
4422,Iliac artery aneurysm,4077.95,44,52.27
1531,Mal neo transverse colon,4069.09,77,45.45
1410,Mal neo tongue base,4064.44,18,38.89
8072,Fracture of sternum-clos,4046.9,29,48.28
49322,Ch obst asth w (ac) exac,4043.14,315,49.21
1623,Mal neo upper lobe lung,4041.66,434,42.63
5761,Cholangitis,4032.86,42,47.62
4238,Pericardial disease NEC,4019.29,14,21.43
99665,React-oth genitourin dev,3999.43,35,42.86
29281,Drug-induced delirium,3975.19,27,44.44
43311,Ocl crtd art w infrct,3963.03,99,49.49
99663,React-nerv sys dev/graft,3960.38,26,26.92
1541,Malignant neopl rectum,3954.79,71,42.25
8248,Fx ankle NOS-closed,3949.29,28,39.29
6822,Cellulitis of trunk,3925.63,119,36.97
9951,Angioneurotic edema,3908.21,28,25.0
29534,Paran schizo-chr/exacerb,3907.86,126,45.24
41404,Cor ath artry bypas grft,3905.56,27,55.56
1820,Malig neo corpus uteri,3904.25,134,44.03
2989,Psychosis NOS,3898.16,147,46.26
3963,Mitral/aortic val insuff,3895.32,94,44.68
56212,Dvrtclo colon w hmrhg,3889.89,278,46.04
1579,Malig neo pancreas NOS,3881.54,91,47.25
1505,Mal neo lower 3rd esoph,3881.5,40,45.0
4589,Hypotension NOS,3868.73,118,45.76
4423,Lower extremity aneurysm,3868.6,50,46.0
4552,Int hemrrhoid w comp NEC,3863.82,68,41.18
V553,Atten to colostomy,3856.22,82,40.24
5370,Acq pyloric stenosis,3839.31,29,31.03
57451,Choledochlith NOS w obst,3831.71,41,34.15
1122,Candidias urogenital NEC,3813.33,21,42.86
1580,Mal neo retroperitoneum,3808.12,16,37.5
2920,Drug withdrawal,3792.68,41,48.78
56962,Colosty/enter comp-mech,3787.5,24,50.0
48241,Meth sus pneum d/t Staph,3761.32,53,47.17
73382,Nonunion of fracture,3747.46,59,40.68
9583,Posttraum wnd infec NEC,3747.22,18,27.78
1916,Mal neo cerebellum NOS,3728.0,10,60.0
72252,Lumb/lumbosac disc degen,3727.98,392,38.52
20300,Mult mye w/o achv rmson,3712.54,130,43.85
7847,Epistaxis,3704.41,59,44.07
55220,Obstr ventral hernia NOS,3702.0,35,40.0
99659,Malfunc oth device/graft,3695.29,34,47.06
566,Anal & rectal abscess,3654.57,46,52.17
1530,Mal neo hepatic flexure,3640.8,88,44.32
99639,Malfunc gu dev/graft NEC,3640.0,28,42.86
1179,Mycoses NEC & NOS,3616.25,24,50.0
4232,Constrictiv pericarditis,3608.0,15,13.33
5693,Rectal & anal hemorrhage,3605.97,77,53.25
73315,Path fx oth spcf prt fmr,3597.86,28,28.57
45342,Ac DVT/emb distl low ext,3578.35,121,42.15
99939,Infect fol infus/inj/vac,3575.71,14,28.57
53641,Gastrostomy infection,3554.74,19,47.37
1562,Mal neo ampulla of vater,3553.0,10,10.0
936,FB in intestine & colon,3552.0,10,20.0
29633,Recur depr psych-severe,3549.13,183,49.73
80703,Fracture three ribs-clos,3540.0,22,45.45
9779,Poison-medicinal agt NOS,3534.17,12,58.33
5570,Ac vasc insuff intestine,3533.48,187,44.92
99832,Disrup-external op wound,3528.82,34,38.24
5768,Dis of biliary tract NEC,3528.33,48,33.33
1978,Sec mal neo GI NEC,3526.67,24,33.33
5363,Gastroparesis,3519.5,40,37.5
73319,Path fx oth specif site,3515.26,19,52.63
61801,"Cystocele, midline",3509.74,39,56.41
5990,Urin tract infection NOS,3508.09,1364,49.85
82000,Fx femur intrcaps NOS-cl,3507.59,29,48.28
57491,Gall&bil cal w/o ch w ob,3488.7,23,39.13
5722,Hepatic encephalopathy,3472.31,147,42.18
80705,Fracture five ribs-close,3470.67,15,60.0
44023,Ath ext ntv art ulcrtion,3470.36,192,46.88
99684,Compl lung transplant,3463.64,33,39.39
4820,K. pneumoniae pneumonia,3459.35,46,34.78
55229,Obstr ventral hernia NEC,3457.78,36,25.0
57460,Gall&bil cal w/ac w/o ob,3453.87,31,41.94
8221,Fracture patella-open,3449.41,17,41.18
40291,Hyp ht dis NOS w ht fail,3427.98,99,43.43
99683,Compl heart transplant,3417.5,32,37.5
42833,Ac on chr diast hrt fail,3404.66,539,45.64
5373,Duodenal obstruction NEC,3403.08,39,43.59
5579,Vasc insuff intest NOS,3385.72,264,39.77
5272,Sialoadenitis,3350.0,17,58.82
99831,Disrup internal op wound,3344.23,26,38.46
9708,Diagnosis 9708,3343.0,10,70.0
1532,Mal neo descend colon,3331.41,78,41.03
1570,Mal neo pancreas head,3327.39,69,44.93
81341,Colles' fracture-closed,3309.33,15,33.33
2948,Mental disor NEC oth dis,3307.34,214,41.59
2252,Ben neo cerebr meninges,3306.29,35,42.86
57450,Choledocholithiasis NOS,3306.1,59,42.37
4580,Orthostatic hypotension,3303.89,193,52.85
56969,Colstmy/enteros comp NEC,3296.39,36,58.33
48282,Pneumonia e coli,3287.93,29,31.03
30400,Opioid dependence-unspec,3287.14,14,50.0
45821,Hemododialysis hypotensn,3282.5,28,39.29
4413,Rupt abd aortic aneurysm,3272.98,47,51.06
5533,Diaphragmatic hernia,3265.42,118,36.44
78039,Convulsions NEC,3262.25,187,41.18
6185,Postop vaginal prolapse,3261.73,52,51.92
29181,Alcohol withdrawal,3256.32,68,50.0
1918,Malig neo brain NEC,3250.53,19,31.58
1533,Mal neo sigmoid colon,3248.21,84,35.71
92231,Back contusion,3245.33,30,53.33
71531,Loc osteoarth NOS-shlder,3198.57,175,41.71
25060,DMII neuro nt st uncntrl,3197.99,149,40.27
29590,Schizophrenia NOS-unspec,3196.22,82,45.12
8246,Fx trimalleolar-closed,3190.26,38,39.47
29574,Schizoafftv dis-chr/exac,3178.33,90,54.44
220,Benign neoplasm ovary,3173.82,34,41.18
4870,Influenza with pneumonia,3163.16,38,42.11
0539,Herpes zoster NOS,3157.94,34,58.82
78097,Altered mental status,3157.12,163,51.53
29620,Depress psychosis-unspec,3151.49,148,39.19
73730,Idiopathic scoliosis,3148.04,46,36.96
82121,Fx femoral condyle-close,3141.85,27,55.56
44022,Ath ext ntv at w rst pn,3135.38,173,43.35
80506,Fx c6 vertebra-closed,3132.0,25,36.0
8020,Nasal bone fx-closed,3124.0,10,30.0
5715,Cirrhosis of liver NOS,3114.72,127,37.8
3331,Tremor NEC,3108.0,15,20.0
73026,Osteomyelitis NOS-l/leg,3096.36,11,81.82
40301,Mal hyp kid w cr kid V,3085.9,78,44.87
43889,Late effect CV dis NEC,3082.37,76,43.42
99889,Oth spcf cmplc procd NEC,3060.0,17,52.94
78062,Postprocedural fever,3054.8,25,40.0
5758,Dis of gallbladder NEC,3042.22,45,24.44
44421,Upper extremity embolism,3035.71,21,23.81
6184,Utervaginal prolapse NOS,3034.44,36,33.33
V5811,Antineoplastic chemo enc,3020.42,502,40.24
5128,Diagnosis 5128,3013.16,95,46.32
03841,H. influenae septicemia,3011.33,15,60.0
83101,Ant disloc humerus-close,3007.5,12,41.67
34830,Encephalopathy NOS,2987.69,65,33.85
27651,Dehydration,2985.83,667,47.98
82122,Fx low femur epiphy-clos,2985.71,14,35.71
41070,"Subendo infarct, unspec",2984.17,12,50.0
1173,Aspergillosis,2982.73,22,36.36
56881,Hemoperitoneum,2982.19,73,36.99
2910,Delirium tremens,2975.16,31,35.48
20203,Nodular lymphoma abdom,2962.73,11,36.36
53190,Stomach ulcer NOS,2961.25,24,45.83
485,Bronchopneumonia org NOS,2950.58,69,44.93
29650,Bipol I cur depres NOS,2949.38,129,43.41
43401,Crbl thrmbs w infrct,2949.17,72,44.44
80502,Fx c2 vertebra-closed,2948.46,39,38.46
1911,Malig neo frontal lobe,2941.67,24,33.33
82525,Fx metatarsal-closed,2937.5,20,45.0
57511,Chronic cholecystitis,2934.11,56,42.86
34290,Unsp hemiplga unspf side,2921.43,14,7.14
34590,Epilep NOS w/o intr epil,2919.65,172,44.19
80501,Fx c1 vertebra-closed,2909.17,24,41.67
2114,Benign neopl rectum/anus,2905.77,26,46.15
07044,Chrnc hpt C w hepat Coma,2905.45,22,36.36
53100,Ac stomach ulcer w hem,2901.63,49,42.86
42613,Av block-2nd degree NEC,2891.8,89,42.7
5225,Periapical abscess,2886.0,15,33.33
20400,Ac lym leuk wo achv rmsn,2881.5,20,35.0
57411,Cholelith/gb inf NEC-obs,2879.33,30,16.67
57401,Cholelith/ac gb inf-obst,2877.43,35,31.43
72210,Lumbar disc displacement,2876.77,409,44.5
5780,Hematemesis,2865.64,55,30.91
1888,Malig neo bladder NEC,2861.3,100,44.0
2189,Uterine leiomyoma NOS,2854.41,34,32.35
2270,Benign neoplasm adrenal,2847.6,25,32.0
73639,Acq hip deformity NEC,2834.62,13,30.77
44030,Athscl extrm bps gft NOS,2833.45,29,27.59
3940,Mitral stenosis,2830.25,79,34.18
30391,Alcoh dep NEC/NOS-contin,2820.0,38,52.63
82302,Fx up tibia w fibula-cl,2813.91,23,43.48
9654,Pois-arom analgesics NEC,2813.0,10,50.0
81301,Fx olecran proc ulna-cl,2811.54,13,46.15
2181,Intramural leiomyoma,2794.67,15,40.0
81354,Fx low radius w ulna-opn,2781.0,10,10.0
1418,Malig neo tongue NEC,2780.0,15,46.67
1625,Mal neo lower lobe lung,2774.23,366,39.89
4359,Trans cereb ischemia NOS,2774.2,441,46.71
56031,Gallstone ileus,2767.74,31,38.71
7211,Cerv spondyl w myelopath,2759.52,315,43.17
2126,Benign neoplasm thymus,2742.94,17,47.06
57441,Choledochlith/gb NEC-obs,2741.58,19,42.11
25082,DMII oth uncntrld,2741.02,147,44.22
99679,Comp-int prost devic NEC,2721.54,26,42.31
99660,Reaction-unsp devic/grft,2707.62,21,38.1
57490,Gall&bil cal w/o cho w/o,2705.0,32,34.38
42099,Acute pericarditis NEC,2698.26,23,30.43
4275,Cardiac arrest,2694.05,111,44.14
31230,Impulse control dis NOS,2683.85,13,38.46
4372,Hypertens encephalopathy,2682.98,57,29.82
44102,Dsct of abdominal aorta,2681.95,41,46.34
29680,Bipolar disorder NOS,2669.94,159,40.88
28959,Spleen disease NEC,2668.0,20,40.0
9916,Hypothermia,2664.14,29,34.48
3960,Mitral/aortic stenosis,2660.53,95,41.05
82002,"Fx femur, midcervic-clos",2660.0,31,45.16
81344,Fx low radius w ulna-cl,2655.0,24,45.83
72888,Rhabdomyolysis,2648.03,117,41.88
5362,Persistent vomiting,2646.97,33,48.48
99657,Complcation-insulin pump,2629.64,28,39.29
53290,Duodenal ulcer NOS,2626.67,15,46.67
5772,Pancreat cyst/pseudocyst,2624.04,89,39.33
5569,Ulceratve colitis unspcf,2623.75,48,39.58
5559,Regional enteritis NOS,2619.17,60,50.0
1981,Sec malig neo urin NEC,2616.21,29,37.93
1462,Mal neo tonsil pillars,2614.17,12,33.33
29532,Paranoid schizo-chronic,2601.07,103,45.63
60001,BPH w urinary obs/LUTS,2600.0,199,52.76
7854,Gangrene,2598.72,47,46.81
29634,Rec depr psych-psychotic,2597.54,142,44.37
6010,Acute prostatitis,2596.8,25,44.0
20283,Lymphomas NEC abdom,2590.4,25,36.0
27542,Hypercalcemia,2589.09,55,43.64
56941,Rectal & anal ulcer,2586.59,41,43.9
42843,Ac/chr syst/dia hrt fail,2583.0,393,36.64
42831,Ac diastolic hrt failure,2579.17,409,42.3
6182,Uterovag prolaps-incompl,2572.08,24,45.83
34839,Encephalopathy NEC,2569.76,41,51.22
20048,Mantle cell lymph multip,2566.67,15,26.67
30928,Adjust dis w anxiety/dep,2562.5,20,40.0
3569,Idio periph neurpthy NOS,2560.81,62,46.77
99609,Malfunc card dev/grf NEC,2556.77,31,35.48
2740,Diagnosis 2740,2556.67,18,33.33
1160,Blastomycosis,2548.67,15,33.33
53551,Gstr/ddnts NOS w hmrhg,2546.63,83,49.4
80708,Fx eight/more rib-closed,2542.94,17,35.29
4440,Diagnosis 4440,2535.0,20,60.0
V5331,Ftng cardiac pacemaker,2534.77,86,48.84
82100,Fx femur NOS-closed,2532.5,24,45.83
44031,Ath ext autologs bps gft,2530.57,35,48.57
5845,"Ac kidny fail, tubr necr",2526.85,162,36.42
920,Contusion face/scalp/nck,2519.02,41,41.46
20213,Mycosis fungoides abdom,2512.86,14,28.57
1504,Mal neo middle 3rd esoph,2496.45,31,45.16
1923,Mal neo spinal meninges,2490.0,11,45.45
80701,Fracture one rib-closed,2489.43,35,45.71
1551,Mal neo intrahepat ducts,2477.2,50,26.0
